"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date test result sars cov 2 voc s gene detection inconclusive screen by rt pcr interpretation inconclusive for sars cov 2 s gene target failure due to low viral load note based on current epidemiology sars cov 2 s gene target failure sgtf is consistent with variant of concern voc lineages b 1 1 529 omicron or b 1 1 7 alpha or other lineages including variants of interest vols possessing this deletion for further information see sars cov 2 variant of concern and genomic sequencing for surveillance test information sheet available at https www publichealthontario ca en laboratory services te st information index copy of results sent to moh phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this assay is not verifed on the above sample type interpret results with caution this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
specimen inappropriate for culture specimen rejected,1,cancelled,,,
covid 19 virus pcr test unable to be completed incorrect container received please submit another specimen in correct container,1,cancelled,,,
send biofire swab to mackenzie richmond hill tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratories and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is suffucent for laboratory confirmation of covid 19 virus see the pho laboratory coronvirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
tested by multiplex rt pcr outbreak number unkown,1,unknown,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected low level covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 by not detected multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by multiple naat not detected influenza a h3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by multiplex naat not detected parainfluenza virus 1 2 3 4 by multiplex naat not detected rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,positive,COVID,,
test not performed specimen lost after receipt in laboratory specimen recollection required,1,cancelled,,,
reference laboratory has no record of receiving this specimen repeat specimen requested by phone,1,cancelled,,,
do not substitute for pcr want full biofire panel thanks! tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmaton of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date test result viral culture panel cancelled note asymptomatic persons are not eligible for respiratory virus testing please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
send biofire swab thanks tested by multiplex rt pcr,1,unknown,,,
delivering preterm ba by who will be in nicu please send biofire to mrhh lab stat tested by multiplex rt pcr,1,unknown,,,
send biofire to mackenzie richmond hill tested by multiplex rt pcr,1,unknown,,,
please do biofire i am aware rapid already done tested by multiplex rt pcr,1,unknown,,,
collecting for biofire resp panel non covid pathogens tested by multiplex rt pcr,1,unknown,,,
coronavirus hku1 organism result detected,1,positive,coronavirus_hku1,,
tests for dna rna detection investigational only adenovirus dna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr adenovirus dna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,negative,all,,
please use biofire panel testing tested by multiplex rt pcr,1,unknown,,,
approvd by dr yang id on call tested by multiplex rt pcr,1,unknown,,,
specimen leaked in transport to the laboratory children s hospital of eastern ontario 737 7600 ex,1,cancelled,,,
cytomegalovirus pcr positive performed at st joseph s hospital 50 charlton ave e hamilton on l8n 4a6 905 522 1155 ext,1,positive,cytomegalovirus,,
mislabelled specimen received resubmission of a properly labelled specimen from the correct patient requested by phone telephone report made to brianna mullin rn,1,cancelled,,,
covid 19 virus pcr test unable to be completed source nasopharyngeal collected site received covid 19 shl final covid 19 virus pcr test unable to be completed no specimen received at the shared hospital laboratory referred to shared hospital laboratory 2075 bayview avenue toronto ontario m4n 3m5 influenza a b and respiratory syncyfinal covid 19 virus pcr test unable to be completed no specimen received at the shared hospital laboratory referred to shared hospital laboratory 2075 bayview avenue toronto ontario m4n 3m,1,cancelled,COVID,,
test cancelled not needed,1,cancelled,,,
another covid swab biofire this time tested by multiplex rt pcr,1,unknown,,,
duplicate order testing not perfomed refer to accession0 testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,cancelled,,,
ordered as per dr chong patient heading to ccu from tele tested by multiplex rt pcr,1,unknown,,,
rapid covid already done but please do biofire because we are trying to rule out other respiratory viruses tested by multiplex rt pcr,1,unknown,COVID,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date jan 9 2021 public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
test required for transfer admission to icu tested by multiplex rt pcr,1,unknown,,,
pt came from a covid outbreak facility tested by multiplex rt pcr,1,unknown,,,
adenovirus dna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr rhinovirus rna not detected by pcr coronavirus nl63 rna not detected by pcr coronavirus 229e rna not detected by pcr coronavirus oc43 rna not detected by pcr bocavirus dna not detected by pcr,1,negative,all,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay this assay is not verified for this specimen type results to be interpreted with caution covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m1 test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this assay is nt verified on the above sample type interpret results with caution this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared of approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for infor on specimen collection kits evaluated on this assay phl report date test result viral culture panel cancelled note cancelled asymptomatic persons are not eligible for respiratory virus testing please refer to pho s respiratory viruses test information sheet at www publichelthontario ca labs phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
test result covid 19 virus rdrp gene not detected covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by note see the pho laboratory coronovirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay this specimen was tested using the rocho cobas sars cov 2 real time pcr assay which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
this specimen has been pooled with another specimen of the same type collected the same time day,1,unknown,,,
2 swabs rec vd for same patient same recollect to assure proper patient tested by multiplex rt pcr,1,unknown,,,
covid 19 virus pcr test unable to be completed source name nasopharyngeal swab collected date received date reported date covid 19 ncov result covid 19 virus pcr test unable to be completed test result could not be determined due to poor specimen quality and or interfering substances please repeat if clinically indicated this assay is currently validated for use with copan and mcmaster molecular media mmm collection kits performance with other collection kits has not been established note this test is considered investigational,1,cancelled,COVID,,
public health result phl numberc05120 reported date cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update availble at www publichealthontario ca labs,1,cancelled,,,
repeat swab please tested by multiplex rt pcr,1,unknown,,,
came from congregate setting tested by multiplex rt pcr,1,unknown,,,
please send to richmond hill for biofire do not do genexpert at cvh tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus orf1a b gene not detected covid 19 virus n gene not detected covid 19 virus s gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this specimen was tested using the thermo fisher amplitudetm which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 see the pho laboratory coronavirus disease 2019 pcr test information sheet for information on specimen collection kits evaluated on this assay covid 19 individual target result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 phl report date oct 4 2021 public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
repeating covid swab please perform this pcr test thank you tested by multiplex rt pcr,1,unknown,COVID,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr covid 19 virus not detected by interpretation real time pcr note this assay has been validated by public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay this assay is not verified for this specimen type results to be interpreted with caution sample testing performed at public health laboratory toronto 661 university avenue suite 1701 toronto on m5g 1m1 customer service,1,negative,COVID,,
awaiting transfer to telemetry bed on d3 tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology labortory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see pho laboratory coronavirus disease 2019 pcr test informatiom sheet for info on specimen collection kits evaluated on this assay phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
for lab add on please send sticker label to lab not a new collection tested by multiplex rt pcr,1,unknown,,,
covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology labortory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 results interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh sars cov 2 voc s gene deletion screen inconclusive by rt pcr interpretation inconclusive for sars cov 2 s gene target failure due to low viral load note based on current epidemiology sars cov 2 gene target failure sgtf is consistent with variant of concern voc lineages b 1 1 529 omicron or b 1 1 7 alpha or other lineages including variants of interest vois possessing this deletion for further information see sars cov 2 variant of concern and genomic sequencing for survelliance test information sheet available at https www publichealthontario ca en laboratory services test information index copy of results sent to moh phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m1 phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
unlabelled specimen received resubmission of a properly labelled specimen requested by phone telephone report made to shema jailai,1,cancelled,,,
unlabelled specimen received resubmission of a properly labelled specimen requested by phone telephone report made to yacheng liu,1,cancelled,,,
not processed sputum is unsuitable sample type for respiratory viral detection,1,cancelled,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this assay is not verifed on the above sample type interpret results with caution this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date test result sars cov 2 lineage by whole unable to generate genome sequencing wgs sars cov 2 genome sequence note sars cov 2 voc was not successfully sequenced for a lineage assignment this could be due to low viral load in the specimen pcr inhibition or other technical issues the whole genome sequencing assay is being used for surveillance purposes copy of results sent to moh phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this assay is not verifed on the above sample type interpret results with caution this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
due to laboratory error specimen not tested repeat specimen is suggested if clinically indicated,1,cancelled,,,
pooled with other bal,1,unknown,,,
covid 19 virus detected by real time pcr health unit notified,1,positive,COVID,,
please do a ct value tested by multiplex rt pcr,1,unknown,,,
routine testing for respiratory viruses from this patient care area is not available during the spring and summer if testing is clinically indicated please contact the medical microbiologist on call for approval jsh,1,cancelled,,,
specimen not tested incorrect specimen collection large swab received please send nasopharyngeal swab if required testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,cancelled,,,
refer to b4095 collected on the same date,1,unknown,,,
no result,1,cancelled,,,
not tested sample is unsuitable for testing if test is still required please place a new order and collect nasopharyngeal swab,1,cancelled,,,
test result covid 19 virus envelope gene indeterminate covid 19 virus pcr interpretation indeterminate for covid 19 virus note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 an indeterminate result may represent a low level of genetic material in this specimen please submit another specimen for testing copy of results sent to moh phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r5 test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory cornovirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
conflicting reports received from cheo influenza request repeat please recollect for analysis,1,unknown,flu,,
due to laboratory error specimen not tested repeat specimen was requested by phone telephone report made to john o donell,1,cancelled,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 by not detected multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by multiple naat not detected influenza a h3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by multiplex naat not detected parainfluenza virus 1 2 3 4 by multiplex naat not detected rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,positive,COVID,,
ordering biofire as per order comment on covid 19 test from dr choi hyoungjin tested by multiplex rt pcr,1,unknown,,,
not a new collection add on to previous specimen send label to lab tested by multiplex rt pcr,1,cancelled,,,
specimen not received at shared hospital laboratory rejected by core lab specimen was leaking,1,cancelled,,,
specimen previously tested within the last 7 days if there are clinical reasons for repeat testing contact virology laboratory,1,cancelled,,,
pt is er rn tested by multiplex rt pcr,1,unknown,,,
covid 19 virus pcr test unable to be completed source name endotrachial tube collected date received date reported date resp virus pcr result covid 19 virus pcr test unable to be completed respiratory virus pcr test unable to be completed test result could not be determined due to poor specimen quality and or interfering substances please repeat if clinically indicated this test is currently validated for use with copan and mcmaster molecular media mmm collection kits performance with other collection kits have not been established note this test is considered investigational,1,cancelled,COVID,,
see report,1,unknown,,,
duplicate order please refer to order b,1,cancelled,,,
test cancelled as per sean rn,1,cancelled,,,
adenovirus dna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr rhinovirus rna not detected by pcr coronavirus nl63 rna not detected by pcr coronavirus 229e rna not detected by pcr coronavirus oc43 rna not detected by pcr bocavirus dna not detected by pcr testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l1 613 737 7600 preliminary testing of covid 19 stability indicate this media is acceptable for respiratory virus testing however this media s performance characteristics have not been evaluated for all respiratory viruses by the eorla microbiology lab,1,negative,all,,
may need admission to mental health unit tested by multiplex rt pcr,1,unknown,,,
mislabelled specimen received resubmission of a properly labelled specimen from the correct patient requested by phone telephone report made to ottawa hospital emergency department,1,cancelled,,,
diarrhea tested by multiplex rt pcr,1,unknown,,,
specimen previously tested within the last 7 days if there are clinical reasons for repeat testing contact virology laboratory testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,cancelled,,,
headache tested by multiplex rt pcr,1,unknown,,,
for surgery today tested by multiplex rt pcr,1,unknown,,,
please perform biofire panel tested by multiplex rt pcr,1,unknown,,,
incorrect container please submit another specimen in correct container spoke to micheal @0600 pm from core lab,1,cancelled,,,
adenovirus detected by real time pcr testing performed using the luminex nxtag respiratory pathogen panel rpp cov assay note the luminex nxtag respiratory pathogen panel rpp cov assay has been approved by health canada for emergency use access eua and has been verified by the university health network sinai health microbiology laboratory,1,positive,Adenovirus,,
specimen originally unlabelled specimen reordered by laboratory under this new number laboratory accepts no responsibility for the error specimen was labelled by b calvert,1,cancelled,,,
came from rcc tested by multiplex rt pcr,1,unknown,,,
covid 19 virus pcr test unable to be completed source name endotrachial tube collected date reorder for shl old received date reported date resp virus pcr result covid 19 virus pcr test unable to be completed respiratory virus pcr test unable to be completed insufficient sample received please repeat if indicated,1,cancelled,COVID,,
covid positive in april tested by multiplex rt pcr,1,unknown,,,
specimen already processed for covid please submit another sample for respvir pcr,1,cancelled,,,
preadmission to psychiatric ward tested by multiplex rt pcr,1,unknown,,,
covid 19 virus orf1a b gene not detected covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory this specimen was tested using the roche cobas sars cov 2 real time pcr assay which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 phl report date july 22 2020 public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
please send biofire swab to richmond hill tested by multiplex rt pcr,1,unknown,,,
requested by ipac tested by multiplex rt pcr,1,unknown,,,
covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus phl report date public health laboratory london highbury ave 5th floor london on n6a 4h,1,negative,COVID,,
as per dr hyoungjin choi biofire test not stat tested by multiplex rt pcr,1,unknown,,,
send to richmond hill for biofire do not do gene xpert tested by multiplex rt pcr,1,unknown,,,
unlabelled specimen received resubmission of a properly labelled specimen requested by phone telephone report made to kate,1,cancelled,,,
human metapneumovirus detected,1,positive, metapneumovirus,,
preadmission covid swab tested by multiplex rt pcr,1,unknown,,,
duoplicate order refer to,1,cancelled,,,
requiring level 2 icu post operative tested by multiplex rt pcr,1,unknown,,,
repeat specimen is suggested if clinically indicated children s hospital of eastern ontario 737 7600 ex 2413 has no record of receiving this specimen refer to accession,1,cancelled,,,
not for covid just to test for other viral respiratory pathogens tested by multiplex rt pcr,1,unknown,,,
p1 text enterovirus like organism finding p1 text,1,unknown,entero_rhino,,
specimen not processed another specimen received and processed within the last 24 hours children s hospital of eastern ontario 737 7600 ex,1,cancelled,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay is not verified for this specimen collection kit results to be interpreted with caution this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 not detected by multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
bronch tested by multiplex rt pcr,1,unknown,,,
covid 19 virus envelope gene not detected interpretation covid 19 virus pcr covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see pho laboratory cornonavirus disease 2019 pcr test information sheet of info on specimen collection kits evaluated on this assay phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
request biofire panel for respiratory virusus do not substitute for covid pcr onl tested by multiplex rt pcr,1,unknown,,,
ventilation required post op tested by multiplex rt pcr,1,unknown,,,
requesting biofire panel to assess for other non covid respiratory pathogens tested by multiplex rt pcr,1,unknown,,,
res,1,unknown,,,
